Time, IDC-ELF-Dogfood, Unit
2019-07-04T21:27:44, 30694084.09090909, bps
2019-07-04T21:32:44, 23010895.555555556, bps
2019-07-04T21:37:44, 32037160.555555556, bps
2019-07-04T21:42:44, 27726739.90909091, bps
2019-07-04T21:47:44, 26523775.8, bps
2019-07-04T21:52:44, 27257713.111111112, bps
2019-07-04T21:57:44, 41776114.8, bps
2019-07-04T22:02:44, 70653499, bps
2019-07-04T22:07:44, 186620917.0909091, bps
2019-07-04T22:12:44, 53927834.8, bps
2019-07-04T22:17:44, 25234005.7, bps
2019-07-04T22:22:44, 24050660.181818184, bps
2019-07-04T22:27:44, 26591652.1, bps
2019-07-04T22:32:44, 21228601.166666668, bps
2019-07-04T22:37:44, 20906272.9, bps
2019-07-04T22:42:44, 33575508.55555555, bps
2019-07-04T22:47:44, 21254853.6, bps
2019-07-04T22:52:44, 22125331.111111112, bps
2019-07-04T22:57:44, 21702533.444444444, bps
2019-07-04T23:02:44, 68068978.8888889, bps
2019-07-04T23:07:44, 144480336.8888889, bps
2019-07-04T23:12:44, 55465858.09090909, bps
2019-07-04T23:17:44, 23870311.7, bps
2019-07-04T23:22:44, 25976622.818181816, bps
2019-07-04T23:27:44, 36712543.333333336, bps
2019-07-04T23:32:44, 24669064, bps
2019-07-04T23:37:44, 33388770, bps
2019-07-04T23:42:44, 24846197.5, bps
2019-07-04T23:47:44, 25693383.333333332, bps
2019-07-04T23:52:44, 26640762.3, bps
2019-07-04T23:57:44, 29281352.7, bps
2019-07-05T00:02:44, 29876276.6, bps
2019-07-05T00:07:44, 140551402, bps
2019-07-05T00:12:44, 65648112.90909091, bps
2019-07-05T00:17:44, 27659494.666666668, bps
2019-07-05T00:22:44, 24912580.9, bps
2019-07-05T00:27:44, 43211693.9, bps
2019-07-05T00:32:44, 44329153.4, bps
2019-07-05T00:37:44, 23865790.444444444, bps
2019-07-05T00:42:44, 31592246.1, bps
2019-07-05T00:47:44, 29864548.75, bps
2019-07-05T00:52:44, 24348086, bps
2019-07-05T00:57:44, 28502110.875, bps
2019-07-05T01:02:44, 73656320.58333333, bps
2019-07-05T01:07:44, 253645840, bps
2019-07-05T01:12:44, 232468645.8181818, bps
2019-07-05T01:17:44, 138483461, bps
2019-07-05T01:22:44, 173448556.6, bps
2019-07-05T01:27:44, 68069476.22222222, bps
2019-07-05T01:32:44, 20929858.636363637, bps
2019-07-05T01:37:44, 58265956.9, bps
2019-07-05T01:42:44, 23040523.777777776, bps
2019-07-05T01:47:44, 22705732.333333332, bps
2019-07-05T01:52:44, 34878963.55555555, bps
2019-07-05T01:57:44, 18226926.181818184, bps
2019-07-05T02:02:44, 26478863.9, bps
2019-07-05T02:07:44, 118281488.9090909, bps
2019-07-05T02:12:44, 133179454, bps
2019-07-05T02:17:44, 22515200.888888888, bps
2019-07-05T02:22:44, 26967024.75, bps
2019-07-05T02:27:44, 22303585.777777776, bps
2019-07-05T02:32:44, 33380097, bps
2019-07-05T02:37:44, 21660863.916666668, bps
2019-07-05T02:42:44, 35904265.11111111, bps
2019-07-05T02:47:44, 24153293.3, bps
2019-07-05T02:52:44, 30039562.181818184, bps
2019-07-05T02:57:44, 25581201.3, bps
2019-07-05T03:02:44, 41990229.54545455, bps
2019-07-05T03:07:44, 106099067.9, bps
2019-07-05T03:12:44, 66081272.777777776, bps
2019-07-05T03:17:44, 26981531.3, bps
2019-07-05T03:22:44, 24470445.818181816, bps
2019-07-05T03:27:44, 27829178.454545453, bps
2019-07-05T03:32:44, 31034154.25, bps
2019-07-05T03:37:44, 20606911, bps
2019-07-05T03:42:44, 21113368.7, bps
2019-07-05T03:47:44, 28863163.4, bps
2019-07-05T03:52:44, 18545961.727272727, bps
2019-07-05T03:57:44, 23638280.888888888, bps
2019-07-05T04:02:44, 56477022.3, bps
2019-07-05T04:07:44, 136565145.69230768, bps
2019-07-05T04:12:44, 38298739.222222224, bps
2019-07-05T04:17:44, 19743809.9, bps
2019-07-05T04:22:44, 23032830.222222224, bps
2019-07-05T04:27:44, 29269070.777777776, bps
2019-07-05T04:32:44, 32743175.272727273, bps
2019-07-05T04:37:44, 22759029, bps
2019-07-05T04:42:44, 28717826.5, bps
2019-07-05T04:47:44, 20017921, bps
2019-07-05T04:52:44, 24198932.636363637, bps
2019-07-05T04:57:44, 22761128.6, bps
2019-07-05T05:02:44, 48873492.916666664, bps
2019-07-05T05:07:44, 138601406.2222222, bps
2019-07-05T05:12:44, 38389627.1, bps
2019-07-05T05:17:44, 20993910, bps
2019-07-05T05:22:44, 24180855.888888888, bps
2019-07-05T05:27:44, 20461555.1, bps
2019-07-05T05:32:44, 24660977.888888888, bps
2019-07-05T05:37:44, 25544729.6, bps
2019-07-05T05:42:44, 23535105.555555556, bps
2019-07-05T05:47:44, 28183459.8, bps
2019-07-05T05:52:44, 23951150.09090909, bps
2019-07-05T05:57:44, 29985536.75, bps
2019-07-05T06:02:44, 54250445.15384615, bps
2019-07-05T06:07:44, 159331925.2, bps
2019-07-05T06:12:44, 46062384.2, bps
2019-07-05T06:17:44, 20005708.1, bps
2019-07-05T06:22:44, 25106096.666666668, bps
2019-07-05T06:27:44, 21851715, bps
2019-07-05T06:32:44, 30903996.25, bps
2019-07-05T06:37:44, 25718840.727272727, bps
2019-07-05T06:42:44, 35179257.1, bps
2019-07-05T06:47:44, 20385087.272727273, bps
2019-07-05T06:52:44, 22892634.545454547, bps
2019-07-05T06:57:44, 64539638, bps
2019-07-05T07:02:44, 49271663.625, bps
2019-07-05T07:07:44, 173107973.4, bps
2019-07-05T07:12:44, 34652543.55555555, bps
2019-07-05T07:17:44, 23205935.111111112, bps
2019-07-05T07:22:44, 25108533.8, bps
2019-07-05T07:27:44, 21592219.777777776, bps
2019-07-05T07:32:44, 33962714.88888889, bps
2019-07-05T07:37:44, 28653685.5, bps
2019-07-05T07:42:44, 32857059.90909091, bps
