Time, dogfood-idc-elf-65/zbs-metad, dogfood-idc-elf-66/zbs-metad, dogfood-idc-elf-67/zbs-metad, Unit
2019-06-28T22:03:52, 8086844.164309765, 17573761.982491583, 18054874.936026935, bytes
2019-06-28T22:33:52, 8242615.940740741, 17842509.748148147, 18155591.517460316, bytes
2019-06-28T23:03:52, 8632529.10976431, 17949510.162962962, 18025291.67946128, bytes
2019-06-28T23:33:52, 8892089.837037036, 17939228.444444444, 18513700.02962963, bytes
2019-06-29T00:03:52, 8573498.268013468, 18381427.674074072, 18679163.259259257, bytes
2019-06-29T00:33:52, 8800536.651851853, 18452019.372390572, 18534400, bytes
2019-06-29T01:03:52, 8788292.611447811, 18197283.684848487, 18486134.777104378, bytes
2019-06-29T01:33:52, 8580865.896296294, 18424649.95555556, 18857172.385185186, bytes
2019-06-29T02:03:52, 8760702.707070706, 18675554.09023569, 18952083.73872054, bytes
2019-06-29T02:33:52, 8905068.08888889, 18475595.58095238, 18587496.296296295, bytes
2019-06-29T03:03:52, 8641070.545454545, 17989172.751515154, 18592054.99259259, bytes
2019-06-29T03:33:52, 8426268.444444444, 18438400, 18739400.662626263, bytes
2019-06-29T04:03:52, 8868940.54141414, 18498419.329292927, 18566515.674074072, bytes
2019-06-29T04:33:52, 8950505.416835018, 18323350.84175084, 18637063.585185185, bytes
2019-06-29T05:03:52, 7875743.288888889, 17941416.770370368, 18365451.377777778, bytes
2019-06-29T05:33:52, 7913258.235690236, 17783316.34208754, 18049505.314478114, bytes
2019-06-29T06:03:52, 8216363.614814814, 17771197.974410776, 17843195.074555077, bytes
2019-06-29T06:33:52, 8271807.870707071, 17662594.67205387, 18250509.274074078, bytes
2019-06-29T07:03:52, 7993449.10899471, 18076810.035594035, 18362485.570370372, bytes
2019-06-29T07:33:52, 8416749.037037037, 18170449.02356902, 18159891.824915826, bytes
2019-06-29T08:03:52, 8536915.437037038, 17929489.066666663, 18234989.985185187, bytes
2019-06-29T08:33:52, 8319169.767003368, 18189475.081481483, 18594139.539393935, bytes
2019-06-29T09:03:52, 8549324.799999999, 18398958.07138047, 18690381.748148147, bytes
2019-06-29T09:33:52, 8830205.06936027, 18341475.64175084, 18468432.334006738, bytes
2019-06-29T10:03:52, 8870578.251851853, 18281312.71111111, 18872743.046464648, bytes
2019-06-29T10:33:52, 8691063.121885521, 18692614.895622898, 18963529.78316498, bytes
2019-06-29T11:03:52, 9126045.22020202, 18785515.830303032, 18764353.16363636, bytes
2019-06-29T11:33:52, 9230641.303703705, 18589574.63703704, 18915400.059259262, bytes
2019-06-29T12:03:52, 9018856.21010101, 18904898.370370373, 19282033.777777776, bytes
2019-06-29T12:33:52, 9269426.251851853, 19098144.237037037, 19360338.057912458, bytes
2019-06-29T13:03:52, 9522102.044444444, 19013095.52053872, 19175587.081481483, bytes
2019-06-29T13:33:52, 9513401.319865322, 18998896.053872053, 19585284.654545452, bytes
2019-06-29T14:03:52, 9302994.833670033, 19402052.266666666, 19680304.78653199, bytes
2019-06-29T14:33:52, 9717617.260606062, 19485895.97306397, 19432645.214814816, bytes
2019-06-29T15:03:52, 9798891.288504088, 19208718.997979797, 19563656.533333335, bytes
2019-06-29T15:33:52, 9633735.111111112, 19611890.725925926, 19968872.296296295, bytes
2019-06-29T16:03:52, 9901546.27878788, 19775001.464550268, 20047803.73333333, bytes
2019-06-29T16:33:52, 10137899.614814816, 19655332.97777778, 19837438.645502646, bytes
2019-06-29T17:03:52, 9985274.31111111, 19693107.372390572, 20259248.355555557, bytes
2019-06-29T17:33:52, 9007902.34074074, 19092119.703703705, 19381337.125925925, bytes
2019-06-29T18:03:52, 9443718.981818182, 19163806.944107745, 19155748.02962963, bytes
2019-06-29T18:33:52, 9549244.078114478, 18995143.283501685, 19388726.99259259, bytes
2019-06-29T19:03:52, 9137288.533333333, 19142247.08956229, 19569610.90370371, bytes
2019-06-29T19:33:52, 8620383.504377106, 18483840.94814815, 18712953.190572392, bytes
2019-06-29T20:03:52, 8813131.85185185, 18325488.484848484, 18507389.155555557, bytes
2019-06-29T20:33:52, 8717431.195767196, 18398806.54006734, 18964527.57979798, bytes
2019-06-29T21:03:52, 8617560.608754208, 18774725.55959596, 19051520.000000004, bytes
2019-06-29T21:33:52, 9020863.525925925, 18875507.674074072, 18792868.87926888, bytes
2019-06-29T22:03:52, 9125468.056565657, 18587288.73804714, 18994166.346127946, bytes
2019-06-29T22:33:52, 8932522.666666666, 18966074.785185184, 19268418.370370373, bytes
2019-06-29T23:03:52, 9254559.633670034, 19102084.913131315, 19294875.496296298, bytes
2019-06-29T23:33:52, 9457616.592592591, 18877939.14458875, 19136800.237037033, bytes
2019-06-30T00:03:52, 9316786.251851851, 19016476.444444448, 19566227.911111113, bytes
2019-06-30T00:33:52, 9339410.445791246, 19370199.241943244, 19665464.88888889, bytes
2019-06-30T01:03:52, 9732149.096296296, 19469638.162962962, 19464916.385185186, bytes
2019-06-30T01:33:52, 9245155.555555556, 19264972.799999997, 19705033.352188554, bytes
2019-06-30T02:03:52, 8966198.992592594, 19675579.733333334, 19957565.1986532, bytes
2019-06-30T02:33:52, 9322378.774410775, 19763194.82828283, 19964510.814814817, bytes
2019-06-30T03:03:52, 9481534.577777777, 19555544.17777778, 19823045.731986534, bytes
2019-06-30T03:33:52, 9307343.558249159, 19663555.49090909, 20253863.56363636, bytes
2019-06-30T04:03:52, 9279776.237037038, 19023467.57171717, 20336733.09090909, bytes
2019-06-30T04:33:52, 9046114.607407406, 19104153.599999998, 20073138.251851853, bytes
2019-06-30T05:03:52, 8306333.959018759, 18166290.962962963, 20330585.98787879, bytes
2019-06-30T05:33:52, 7348368.118518517, 17894762.02020202, 20279821.274074074, bytes
2019-06-30T06:03:52, 7170156.606060606, 17203164.413660415, 19490678.087542087, bytes
2019-06-30T06:33:52, 7238936.651851852, 16962597.925925925, 19330192.11851852, bytes
2019-06-30T07:03:52, 7040977.454545454, 17123254.044444446, 19718555.66868687, bytes
2019-06-30T07:33:52, 7167968.969696969, 17462470.593939394, 19819876.503703702, bytes
2019-06-30T08:03:52, 7452593.734680135, 17513093.602693602, 19575832.824242424, bytes
2019-06-30T08:33:52, 7487649.185185186, 17157229.985185187, 19760442.785185184, bytes
2019-06-30T09:03:52, 7285573.128619529, 17600696.63030303, 19959698.35959596, bytes
2019-06-30T09:33:52, 7678809.125925926, 17673529.15978836, 19919942.162962962, bytes
2019-06-30T10:03:52, 7799888.678787879, 17487746.327272724, 19109664.926599327, bytes
2019-06-30T10:33:52, 7558333.629629631, 17702904.414814815, 18363543.703703705, bytes
2019-06-30T11:03:52, 7461247.101106301, 17831914.22953343, 18108886.281481482, bytes
2019-06-30T11:33:52, 6788211.674074075, 16914255.644444447, 16869650.962962966, bytes
2019-06-30T12:03:52, 6815751.585185185, 16519794.812121212, 17056483.555555556, bytes
