Time, dogfood-idc-elf-62, dogfood-idc-elf-61, dogfood-idc-elf-65, dogfood-idc-elf-66, dogfood-idc-elf-67, dogfood-idc-elf-68, dogfood-idc-elf-63, dogfood-idc-elf-64, Unit
2019-07-04T21:35:22, 164.1, 563.2, 318.3, 169.6, 128.9, 41.6, 16.4, 36.3, 
2019-07-04T21:40:22, 186.7, 518.9, 440.4, 147.3, 167.8, 41.8, 8.6, 23.5, 
2019-07-04T21:45:22, 210.44444444444446, 377, 367.6666666666667, 125.55555555555556, 155.77777777777777, 32.888888888888886, 11.777777777777779, 29.555555555555557, 
2019-07-04T21:50:22, 214.72727272727272, 385.8181818181818, 359.09090909090907, 122.18181818181819, 158.1818181818182, 18.181818181818183, 17.181818181818183, 20.545454545454547, 
2019-07-04T21:55:22, 164.66666666666666, 494.22222222222223, 375.22222222222223, 285, 163.66666666666666, 57.44444444444444, 18.444444444444443, 26.11111111111111, 
2019-07-04T22:00:22, 185.1, 389.8, 437.5, 201.5, 155.9, 18.8, 9.6, 28.3, 
2019-07-04T22:05:22, 1299.8, 402.9, 371, 155.7, 204, 25.1, 14.5, 28, 
2019-07-04T22:10:22, 1089.3636363636363, 373.54545454545456, 468, 71.36363636363636, 247.54545454545453, 49.81818181818182, 10.363636363636363, 38.09090909090909, 
2019-07-04T22:15:22, 180.2, 354.5, 444.8, 101.2, 147.3, 57.4, 7.9, 41.4, 
2019-07-04T22:20:22, 192.1818181818182, 360.54545454545456, 399.27272727272725, 115.54545454545455, 180, 27.545454545454547, 7, 50, 
2019-07-04T22:25:22, 164, 294.09090909090907, 325.90909090909093, 137.8181818181818, 157.36363636363637, 48.27272727272727, 46.09090909090909, 48, 
2019-07-04T22:30:22, 116.1, 374, 525.1, 94.5, 103.8, 20.8, 16.4, 33.7, 
2019-07-04T22:35:22, 201.27272727272728, 228.63636363636363, 383.3636363636364, 136.63636363636363, 162.9090909090909, 20.09090909090909, 22.90909090909091, 33.81818181818182, 
2019-07-04T22:40:22, 149.33333333333334, 429.6666666666667, 371.44444444444446, 58.22222222222222, 129.55555555555554, 17.11111111111111, 7.666666666666667, 43.22222222222222, 
2019-07-04T22:45:22, 191.7, 407.2, 560.2, 89.9, 138.8, 24.3, 16.2, 45.9, 
2019-07-04T22:50:22, 184.11111111111111, 306, 289.55555555555554, 70.11111111111111, 158.44444444444446, 17.11111111111111, 8.11111111111111, 29.666666666666668, 
2019-07-04T22:55:22, 139.6, 333.6, 485.6, 128.6, 125.4, 18.8, 9.2, 20.6, 
2019-07-04T23:00:22, 154.66666666666666, 320.55555555555554, 408, 132.33333333333334, 123, 21.22222222222222, 5.444444444444445, 17.11111111111111, 
2019-07-04T23:05:22, 1227.888888888889, 307.77777777777777, 444.8888888888889, 112, 212.22222222222223, 33.888888888888886, 9.777777777777779, 30.22222222222222, 
2019-07-04T23:10:22, 944.4, 300.4, 370.5, 104.5, 192.8, 17.8, 14.7, 29.1, 
2019-07-04T23:15:22, 182.3, 357.1, 424.7, 108.7, 141.7, 36.3, 5.6, 36.1, 
2019-07-04T23:20:22, 162.25, 386.3333333333333, 388.25, 141.33333333333334, 195.75, 35.75, 7.916666666666667, 38.416666666666664, 
2019-07-04T23:25:22, 190.375, 389.875, 528.5, 182, 145.5, 33.625, 10.125, 22.25, 
2019-07-04T23:30:22, 212.54545454545453, 603.1818181818181, 393.8181818181818, 123.9090909090909, 124.45454545454545, 22.454545454545453, 10.090909090909092, 20.181818181818183, 
2019-07-04T23:35:22, 158.44444444444446, 336.6666666666667, 430.44444444444446, 108.66666666666667, 100.44444444444444, 29.88888888888889, 8.555555555555555, 30.555555555555557, 
2019-07-04T23:40:22, 116.54545454545455, 538.2727272727273, 433.45454545454544, 135.1818181818182, 175.45454545454547, 44.18181818181818, 9.636363636363637, 25.454545454545453, 
2019-07-04T23:45:22, 94.55555555555556, 504, 380.55555555555554, 82.33333333333333, 95.44444444444444, 19.666666666666668, 15, 38, 
2019-07-04T23:50:22, 161.33333333333334, 601.5555555555555, 476, 102.55555555555556, 109.66666666666667, 38.666666666666664, 8.777777777777779, 30.77777777777778, 
2019-07-04T23:55:22, 168.6, 381, 270.1, 142.1, 156.1, 21.2, 8.1, 47.3, 
2019-07-05T00:00:22, 118.9, 596.5, 429.1, 128.7, 126.7, 19.6, 8.1, 49, 
2019-07-05T00:05:22, 589, 439.3, 330.3, 207.9, 134.2, 40.6, 19.2, 42.9, 
2019-07-05T00:10:22, 926.75, 647.75, 395.625, 123.875, 183.25, 43.625, 18.5, 17.75, 
2019-07-05T00:15:22, 160.75, 555.0833333333334, 380.75, 125.33333333333333, 158.41666666666666, 36.666666666666664, 13.666666666666666, 19.75, 
2019-07-05T00:20:22, 151.9090909090909, 394.54545454545456, 424.1818181818182, 114.27272727272727, 108.18181818181819, 42.81818181818182, 13.545454545454545, 34.09090909090909, 
2019-07-05T00:25:22, 112.8, 700.1, 384.4, 125.3, 145.1, 22.1, 10.4, 35.6, 
2019-07-05T00:30:22, 242, 546.7, 417.7, 157.2, 155.7, 31.1, 13.9, 26.4, 
2019-07-05T00:35:22, 182.1, 733.1, 427.6, 132.2, 140.7, 21.9, 9.9, 73.6, 
2019-07-05T00:40:22, 202.22222222222223, 486.44444444444446, 383.55555555555554, 166.88888888888889, 139.55555555555554, 19.77777777777778, 11.777777777777779, 38.333333333333336, 
2019-07-05T00:45:22, 191.6, 454, 474.7, 152, 126.9, 45.7, 41.6, 32, 
2019-07-05T00:50:22, 116.57142857142857, 318.85714285714283, 471.85714285714283, 95.14285714285714, 96.28571428571429, 52.57142857142857, 6.857142857142857, 41.42857142857143, 
2019-07-05T00:55:22, 151, 468, 397.375, 102.5, 102.75, 40.25, 10, 26.5, 
2019-07-05T01:00:22, 157.55555555555554, 294.22222222222223, 590, 174.55555555555554, 193.66666666666666, 18.11111111111111, 5.111111111111111, 34.44444444444444, 
2019-07-05T01:05:22, 1316.5833333333333, 280.1666666666667, 451.25, 119.08333333333333, 174.5, 26, 12.833333333333334, 24.333333333333332, 
2019-07-05T01:10:22, 1810.5, 387.2, 373.6, 123.5, 143, 18.1, 7.8, 47.9, 
2019-07-05T01:15:22, 1732.3333333333333, 277.3333333333333, 492.5833333333333, 90.33333333333333, 129.41666666666666, 20.75, 18.416666666666668, 50.666666666666664, 
2019-07-05T01:20:22, 1230.1, 317.1, 366.3, 129.3, 136.5, 22, 55.5, 32.5, 
2019-07-05T01:25:22, 867.6666666666666, 291.8888888888889, 520.7777777777778, 90.88888888888889, 125.33333333333333, 26.333333333333332, 13.11111111111111, 35, 
2019-07-05T01:30:22, 234, 319.9, 474, 148.4, 140.8, 18.7, 12, 30.6, 
2019-07-05T01:35:22, 340.45454545454544, 406.8181818181818, 408.72727272727275, 180.1818181818182, 120.27272727272727, 38.45454545454545, 10.181818181818182, 20.727272727272727, 
2019-07-05T01:40:22, 211.88888888888889, 287.6666666666667, 339.1111111111111, 95.44444444444444, 189.55555555555554, 20.88888888888889, 8, 22.88888888888889, 
2019-07-05T01:45:22, 156.25, 266.75, 471.125, 177.625, 178.25, 23.25, 11.75, 39.625, 
2019-07-05T01:50:22, 93.77777777777777, 307.8888888888889, 433.22222222222223, 130.88888888888889, 141.11111111111111, 23.444444444444443, 6.555555555555555, 29.666666666666668, 
2019-07-05T01:55:22, 129.27272727272728, 447.54545454545456, 497.90909090909093, 99.18181818181819, 148.72727272727272, 29.272727272727273, 10.454545454545455, 19.818181818181817, 
2019-07-05T02:00:22, 186.3, 250.4, 479.9, 72.6, 95.2, 35.2, 14.9, 27.1, 
2019-07-05T02:05:22, 166.7, 278.2, 520.6, 118.5, 112.9, 69.1, 8.6, 41.9, 
2019-07-05T02:10:22, 1232.3636363636363, 326.09090909090907, 405.90909090909093, 99.0909090909091, 143.9090909090909, 406.72727272727275, 8.363636363636363, 37.81818181818182, 
2019-07-05T02:15:22, 703.6, 239.6, 441.5, 108.4, 203.9, 335.3, 7.3, 23, 
2019-07-05T02:20:22, 71.375, 308.25, 487.875, 95, 153.125, 26.25, 6.5, 36.125, 
2019-07-05T02:25:22, 126.375, 267.25, 378.125, 107.375, 97.625, 21.375, 11.375, 57.75, 
