,0
2019-04-11 21:30:12,4622896742.4
2019-04-11 21:35:12,4625478860.8
2019-04-11 21:40:12,4626561843.2
2019-04-11 21:45:12,4630018457.6
2019-04-11 21:50:12,4628372684.8
2019-04-11 21:55:12,4629142732.8
2019-04-11 22:00:12,4631914086.4
2019-04-11 22:05:12,4637272064.0
2019-04-11 22:10:12,4636747776.0
2019-04-11 22:15:12,4641415577.6
2019-04-11 22:20:12,4638117888.0
2019-04-11 22:25:12,4643860070.4
2019-04-11 22:30:12,4649918464.0
2019-04-11 22:35:12,4651719475.2
2019-04-11 22:40:12,4652009062.4
2019-04-11 22:45:12,4655953100.8
2019-04-11 22:50:12,4657262182.4
2019-04-11 22:55:12,4659552256.0
2019-04-11 23:00:12,4661419212.8
2019-04-11 23:05:12,4699013939.2
2019-04-11 23:10:12,4676751769.6
2019-04-11 23:15:12,4669201203.2
2019-04-11 23:20:12,4667654553.6
2019-04-11 23:25:12,4670764646.4
2019-04-11 23:30:12,4670183833.6
2019-04-11 23:35:12,4677602099.2
2019-04-11 23:40:12,4676285235.2
2019-04-11 23:45:12,4678267289.6
2019-04-11 23:50:12,4678107136.0
2019-04-11 23:55:12,4691384729.6
2019-04-12 00:00:12,4690132992.0
2019-04-12 00:05:12,4693692006.4
2019-04-12 00:10:12,4693204992.0
2019-04-12 00:15:12,4698197196.8
2019-04-12 00:20:12,4698240204.8
2019-04-12 00:25:12,4704159334.4
2019-04-12 00:30:12,4708590387.2
2019-04-12 00:35:12,4709477990.4
2019-04-12 00:40:12,4710231244.8
2019-04-12 00:45:12,4712536473.6
2019-04-12 00:50:12,4713057894.4
2019-04-12 00:55:12,4712162099.2
2019-04-12 01:00:12,4714369024.0
2019-04-12 01:05:12,4498547916.8
2019-04-12 01:10:12,4478121984.0
2019-04-12 01:15:12,4470415360.0
2019-04-12 01:20:12,4467545702.4
2019-04-12 01:25:12,4473182617.6
2019-04-12 01:30:12,4478065459.2
2019-04-12 01:35:12,4478459084.8
2019-04-12 01:40:12,4478976819.2
2019-04-12 01:45:12,4481417216.0
2019-04-12 01:50:12,4482652979.2
2019-04-12 01:55:12,4483558195.2
2019-04-12 02:00:12,4485403033.6
2019-04-12 02:05:12,4486953779.2
2019-04-12 02:10:12,4490315366.4
2019-04-12 02:15:12,4488922316.8
2019-04-12 02:20:12,4491947622.4
2019-04-12 02:25:12,4497522688.0
2019-04-12 02:30:12,4500062208.0
2019-04-12 02:35:12,4500408320.0
2019-04-12 02:40:12,4503969382.4
2019-04-12 02:45:12,4504030412.8
2019-04-12 02:50:12,4504854528.0
2019-04-12 02:55:12,4506764083.2
2019-04-12 03:00:12,4508151808.0
2019-04-12 03:05:12,4555945574.4
2019-04-12 03:10:12,4531604275.2
2019-04-12 03:15:12,4522015129.6
2019-04-12 03:20:12,4523922636.8
2019-04-12 03:25:12,4528762880.0
2019-04-12 03:30:12,4528513024.0
2019-04-12 03:35:12,4533204172.8
2019-04-12 03:40:12,4532472627.2
2019-04-12 03:45:12,4535943168.0
2019-04-12 03:50:12,4534877388.8
2019-04-12 03:55:12,4537264128.0
2019-04-12 04:00:12,4536127078.4
2019-04-12 04:05:12,4540357427.2
2019-04-12 04:10:12,4541800857.6
2019-04-12 04:15:12,4545831731.2
2019-04-12 04:20:12,4543071436.8
2019-04-12 04:25:12,4548732928.0
2019-04-12 04:30:12,4550716620.8
2019-04-12 04:35:12,4569194496.0
2019-04-12 04:40:12,4567087513.6
2019-04-12 04:45:12,4564550860.8
2019-04-12 04:50:12,4563304857.6
2019-04-12 04:55:12,4564565606.4
2019-04-12 05:00:12,4565245132.8
2019-04-12 05:05:12,4610010316.8
2019-04-12 05:10:12,4579672883.2
2019-04-12 05:15:12,4561683251.2
2019-04-12 05:20:12,4558558412.8
2019-04-12 05:25:12,4564574208.0
2019-04-12 05:30:12,4565899673.6
2019-04-12 05:35:12,4571229388.8
2019-04-12 05:40:12,4569971507.2
2019-04-12 05:45:12,4573862707.2
2019-04-12 05:50:12,4570157875.2
2019-04-12 05:55:12,4575912755.2
2019-04-12 06:00:12,4577763328.0
2019-04-12 06:05:12,4580551475.2
2019-04-12 06:10:12,4582461030.4
2019-04-12 06:15:12,4582096076.8
2019-04-12 06:20:12,4585766502.4
2019-04-12 06:25:12,4590265139.2
2019-04-12 06:30:12,4592917708.8
2019-04-12 06:35:12,4595184844.8
2019-04-12 06:40:12,4598588620.8
2019-04-12 06:45:12,4597469593.6
2019-04-12 06:50:12,4599300915.2
2019-04-12 06:55:12,4600415846.4
2019-04-12 07:00:12,4601800294.4
2019-04-12 07:05:12,4651423744.0
2019-04-12 07:10:12,4633015910.4
2019-04-12 07:15:12,4617120153.6
2019-04-12 07:20:12,4614762086.4
2019-04-12 07:25:12,4620423987.2
2019-04-12 07:30:12,4620580864.0
2019-04-12 07:35:12,4626445107.2
2019-04-12 07:40:12,4626841190.4
2019-04-12 07:45:12,4628917452.8
2019-04-12 07:50:12,4626940313.6
2019-04-12 07:55:12,4632468275.2
2019-04-12 08:00:12,4633141248.0
2019-04-12 08:05:12,4642711142.4
2019-04-12 08:10:12,4645099110.4
2019-04-12 08:15:12,4641404108.8
2019-04-12 08:20:12,4639566233.6
2019-04-12 08:25:12,4644270489.6
2019-04-12 08:30:12,4643811737.6
2019-04-12 08:35:12,4649778790.4
2019-04-12 08:40:12,4651549491.2
2019-04-12 08:45:12,4653463142.4
2019-04-12 08:50:12,4656803430.4
2019-04-12 08:55:12,4658482380.8
2019-04-12 09:00:12,4660811776.0
2019-04-12 09:05:12,4708532633.6
2019-04-12 09:10:12,4685665894.4
2019-04-12 09:15:12,4673078067.2
2019-04-12 09:20:12,4674969600.0
2019-04-12 09:25:12,4680418918.4
2019-04-12 09:30:12,4678436454.4
2019-04-12 09:35:12,4683587993.6
2019-04-12 09:40:12,4683046092.8
2019-04-12 09:45:12,4687291187.2
2019-04-12 09:50:12,4690060902.4
2019-04-12 09:55:12,4741151129.6
2019-04-12 10:00:12,4736124108.8
2019-04-12 10:05:12,4736702464.0
2019-04-12 10:10:12,4741077401.6
2019-04-12 10:15:12,4742332006.4
