,0
2019-04-11 10:14:03,4074631168.0
2019-04-12 10:14:03,4544998859.061729
2019-04-13 10:14:03,4832050387.911111
2019-04-14 10:14:03,4973052539.733333
2019-04-15 10:14:03,5070006321.777778
2019-04-16 10:14:03,5193242962.488889
2019-04-17 10:14:03,3673433050.642962
2019-04-18 10:14:03,3158620692.227161
2019-04-19 10:14:03,3331178225.777778
2019-04-20 10:14:03,3444008503.4666653
2019-04-21 10:14:03,3579213024.7111106
2019-04-22 10:14:03,3629221990.3999996
2019-04-23 10:14:03,3758607203.555557
2019-04-24 10:14:03,3848878136.888889
2019-04-25 10:14:03,3008693867.2416077
2019-04-26 10:14:03,2733401786.311111
2019-04-27 10:14:03,2983927106.804938
2019-04-28 10:14:03,3168236694.755556
2019-04-29 10:14:03,3318645165.5111103
2019-04-30 10:14:03,3424956534.0444446
2019-05-01 10:14:03,3526819670.7555537
2019-05-02 10:14:03,3641529858.8444443
2019-05-03 10:14:03,3711498171.733334
2019-05-04 10:14:03,3819725909.3333335
2019-05-05 10:14:03,3931266397.8666673
2019-05-06 10:14:03,4064109563.733333
2019-05-07 10:14:03,4426629647.644446
2019-05-08 10:14:03,4889685213.866667
2019-05-09 10:14:03,4978753887.288889
2019-05-10 10:14:03,5056436734.577779
2019-05-11 10:14:03,5164822210.844443
2019-05-12 10:14:03,5258503712.711109
2019-05-13 10:14:03,5374577113.600001
2019-05-14 10:14:03,5513544503.466666
2019-05-15 10:14:03,5606092528.355557
2019-05-16 10:14:03,5691360692.622222
2019-05-17 10:14:03,5811713019.733334
2019-05-18 10:14:03,5891762720.71111
2019-05-19 10:14:03,6027388061.866669
2019-05-20 10:14:03,6145998409.955555
2019-05-21 10:14:03,6271926670.222222
2019-05-22 10:14:03,6338045897.955558
2019-05-23 10:14:03,6476046415.644446
2019-05-24 10:14:03,6619830153.955558
2019-05-25 10:14:03,6696216024.177777
2019-05-26 10:14:03,6741806068.622223
2019-05-27 10:14:03,6704646277.6888895
2019-05-28 10:14:03,6304843933.866668
2019-05-29 10:14:03,6397821694.577778
2019-05-30 10:14:03,6520025662.577778
2019-05-31 10:14:03,6646284918.044444
2019-06-01 10:14:03,6764532293.6888895
2019-06-02 10:14:03,6846226370.844441
2019-06-03 10:14:03,6934182468.266666
2019-06-04 10:14:03,7077314193.777779
2019-06-05 10:14:03,7176088368.355554
2019-06-06 10:14:03,7304903203.555554
