,0
2019-04-11 10:05:57,136717333.33333334
2019-04-11 10:35:57,45872000.0
2019-04-11 11:05:57,71963200.0
2019-04-11 11:35:57,28808000.0
2019-04-11 12:05:57,78757600.0
2019-04-11 12:35:57,31204800.0
2019-04-11 13:05:57,25304000.0
2019-04-11 13:35:57,23344000.0
2019-04-11 14:05:57,47657600.0
2019-04-11 14:35:57,67629600.0
2019-04-11 15:05:57,78449600.0
2019-04-11 15:35:57,33635200.0
2019-04-11 16:05:57,70128800.0
2019-04-11 16:35:57,39628000.0
2019-04-11 17:05:57,26892800.0
2019-04-11 17:35:57,45508000.0
2019-04-11 18:05:57,72100800.0
2019-04-11 18:35:57,68152800.0
2019-04-11 19:05:57,34063200.0
2019-04-11 19:35:57,44712800.0
2019-04-11 20:05:57,44732000.0
2019-04-11 20:35:57,77988800.0
2019-04-11 21:05:57,75612000.0
2019-04-11 21:35:57,121548800.0
2019-04-11 22:05:57,128211200.0
2019-04-11 22:35:57,25319200.0
2019-04-11 23:05:57,47416800.0
2019-04-11 23:35:57,72132800.0
2019-04-12 00:05:57,25719200.0
2019-04-12 00:35:57,36810400.0
2019-04-12 01:05:57,79926400.00000001
2019-04-12 01:35:57,65537600.0
2019-04-12 02:05:57,30840000.0
2019-04-12 02:35:57,74807200.0
2019-04-12 03:05:57,74058400.0
2019-04-12 03:35:57,29267200.0
2019-04-12 04:05:57,31276800.0
2019-04-12 04:35:57,30872800.0
2019-04-12 05:05:57,86386399.99999999
2019-04-12 05:35:57,41956000.0
2019-04-12 06:05:57,22960000.0
2019-04-12 06:35:57,64625600.0
2019-04-12 07:05:57,63833600.0
2019-04-12 07:35:57,40345600.0
2019-04-12 08:05:57,25727200.0
2019-04-12 08:35:57,74810400.0
2019-04-12 09:05:57,36840800.0
2019-04-12 09:35:57,30486400.0
2019-04-12 10:05:57,27679200.0
2019-04-12 10:35:57,87004800.0
2019-04-12 11:05:57,81076800.0
2019-04-12 11:35:57,84701600.0
2019-04-12 12:05:57,93422400.0
2019-04-12 12:35:57,68897600.0
2019-04-12 13:05:57,26102400.0
2019-04-12 13:35:57,29211200.0
2019-04-12 14:05:57,75270400.0
2019-04-12 14:35:57,32068000.0
2019-04-12 15:05:57,26058400.0
2019-04-12 15:35:57,42740000.0
2019-04-12 16:05:57,24936000.0
2019-04-12 16:35:57,28001600.0
2019-04-12 17:05:57,32860800.0
2019-04-12 17:35:57,28095200.0
2019-04-12 18:05:57,36627200.0
2019-04-12 18:35:57,29663200.0
2019-04-12 19:05:57,33543200.0
2019-04-12 19:35:57,77907200.0
2019-04-12 20:05:57,34048800.0
2019-04-12 20:35:57,116915200.0
2019-04-12 21:05:57,26528000.0
2019-04-12 21:35:57,72136800.0
