,0
2019-04-11 21:02:22,6785581.110606059
2019-04-12 21:02:22,6023888.414583334
2019-04-13 21:02:22,22418599.96979167
2019-04-14 21:02:22,7482364.196874999
2019-04-15 21:02:22,6852195.917361111
2019-04-16 21:02:22,6058138.924421296
2019-04-17 21:02:22,30185074.612847224
2019-04-18 21:02:22,39374467.67256944
2019-04-19 21:02:22,7938736.189236113
2019-04-20 21:02:22,6613020.603819445
2019-04-21 21:02:22,7085837.425694442
2019-04-22 21:02:22,7575490.838194442
2019-04-23 21:02:22,6616812.275347222
2019-04-24 21:02:22,5018077.032569445
2019-04-25 21:02:22,6250220.050347223
2019-04-26 21:02:22,9551744.408898009
2019-04-27 21:02:22,17041059.997916665
2019-04-28 21:02:22,16926480.945486113
2019-04-29 21:02:22,8008162.713194445
2019-04-30 21:02:22,4756321.621875002
2019-05-01 21:02:22,3897297.544444446
2019-05-02 21:02:22,3577888.1156249996
2019-05-03 21:02:22,5152181.56284722
2019-05-04 21:02:22,6907404.034374998
2019-05-05 21:02:22,8690816.546875002
2019-05-06 21:02:22,8711981.856597222
2019-05-07 21:02:22,8128103.958333332
2019-05-08 21:02:22,6736480.404861112
2019-05-09 21:02:22,8026590.194444445
2019-05-10 21:02:22,10186238.606944446
2019-05-11 21:02:22,9564153.134375
2019-05-12 21:02:22,7929882.849305558
2019-05-13 21:02:22,6083708.891319445
2019-05-14 21:02:22,5496400.592708333
2019-05-15 21:02:22,7750538.755902777
2019-05-16 21:02:22,9593032.417708332
2019-05-17 21:02:22,9157360.117708333
2019-05-18 21:02:22,7840091.317013892
2019-05-19 21:02:22,6192433.046875003
2019-05-20 21:02:22,7953556.967708333
2019-05-21 21:02:22,10688962.269444449
2019-05-22 21:02:22,8917458.463541666
2019-05-23 21:02:22,7044577.878472221
2019-05-24 21:02:22,5910748.723958332
2019-05-25 21:02:22,5719370.119444445
2019-05-26 21:02:22,10552376.270833334
2019-05-27 21:02:22,9754470.904166667
2019-05-28 21:02:22,9195811.408680553
2019-05-29 21:02:22,6379358.749652778
2019-05-30 21:02:22,5700261.1083333315
2019-05-31 21:02:22,5358733.77638889
2019-06-01 21:02:22,8046380.760416667
2019-06-02 21:02:22,8376709.02361111
2019-06-03 21:02:22,8548825.279861111
2019-06-04 21:02:22,9071737.605208334
2019-06-05 21:02:22,8253019.171875001
